directory,file_name,variable_name,variable_type,description
data/,testdatapublishing.rda,country,character,
data/,testdatapublishing.rda,date_submitted,character,
data/,testdatapublishing.rda,photo_of_the_water_point,character,
data/,testdatapublishing.rda,latitude,numeric,
data/,testdatapublishing.rda,longtude,numeric,
data/,testdatapublishing.rda,altitude,numeric,
data/,testdatapublishing.rda,functional_status,character,
data/,testdatapublishing.rda,current_problem,character,
data/,testdatapublishing.rda,other_current_problems,character,
data/,testdatapublishing.rda,water_quality_issues_with_this_water_point,character,
data/,testdatapublishing.rda,water_quality_issues_on_the_water_point,character,
data/,testdatapublishing.rda,other_water_quality_issues_on_the_water_point,character,
data/,testdatapublishing.rda,households_who_use_this_water_point,numeric,
data/,testdatapublishing.rda,are_there_times_of_the_year_when_water_is_not_available_from_this_source_due_to_seasonal_variation,character,
data/,testdatapublishing.rda,when_is_water_not_available_from_this_source,character,
data/,testdatapublishing.rda,is_there_a_service_provider_or_someone_responsible_for_operating_and/or_maintaining_this_water_point_or_water_system,character,
data/,testdatapublishing.rda,type_of_service_provider,character,
data/,testdatapublishing.rda,water_point_have_active_water_point_committee,character,
